"Name","dropout","l_rate","n_cnn_layers","optimizer","test/accuracy","test/loss"
"dutiful-sweep-24","0.2","0.0001","5","AdamW","4.9426807256208525","0.1547358092955417"
"grateful-sweep-23","0.2","0.0001","5","Adam","4.870010618534353","0.1524284625839856"
"morning-sweep-22","0.2","0.0001","5","SGD","4.969395968649122","0.1555703374453717"
"deep-sweep-21","0.2","0.0001","3","AdamW","4.75900390992562","0.14897328325443798"
"wandering-sweep-20","0.2","0.0001","3","Adam","4.734286566575368","0.14821799751371145"
"vocal-sweep-19","0.2","0.0001","3","SGD","5.0242967655261355","0.1573219397622678"
"fresh-sweep-18","0.2","0.0005","5","AdamW","3.785481725715929","0.11849924456328154"
"balmy-sweep-17","0.2","0.0005","5","Adam","4.769008956849575","0.1492777804637121"
"avid-sweep-16","0.2","0.0005","5","SGD","5.188073658280903","0.16239413381036785"
"soft-sweep-15","0.2","0.0005","3","AdamW","3.705912046962314","0.11602839455008508"
"glorious-sweep-14","0.2","0.0005","3","Adam","3.729073783589734","0.1167342791126834"
"cool-sweep-13","0.2","0.0005","3","SGD","4.865762894352277","0.1523120752018359"
"drawn-sweep-12","0.1","0.0001","5","AdamW","4.477733404272133","0.14015567411358157"
"vocal-sweep-11","0.1","0.0001","5","Adam","4.626018198827903","0.14482378938959706"
"sparkling-sweep-10","0.1","0.0001","5","SGD","5.084928298989932","0.15916977025982407"
"dark-sweep-9","0.1","0.0001","3","AdamW","4.158229490121205","0.13017780711460444"
"radiant-sweep-8","0.1","0.0001","3","Adam","4.547043156292704","0.1423571559910973"
"peachy-sweep-7","0.1","0.0001","3","SGD","4.944579516847928","0.1547766737639904"
"chocolate-sweep-6","0.1","0.0005","5","AdamW","3.703964790122376","0.11595072726615602"
"lyric-sweep-5","0.1","0.0005","5","Adam","4.82237776203288","0.1509541506982512"
"blooming-sweep-4","0.1","0.0005","5","SGD","5.088607124984264","0.15931682298994726"
"ruby-sweep-3","0.1","0.0005","3","AdamW","5.91711472802692","0.18524574084828296"
"pious-sweep-2","0.1","0.0005","3","Adam","3.6945261880755424","0.1156424259663456"
"azure-sweep-1","0.1","0.0005","3","SGD","4.828392478326957","0.1511356056564384"
