"Name","Runtime","dropout","l_rate","n_cnn_layers","optimizer","train/epoch","train/loss","validation/loss","test/loss","validation/accuracy","test/accuracy"
"gentle-sweep-12","88","0.05","0.0001","3","AdamW","2","0.0023460015654563904","0.0024526648937372806","0.0019551076511561405","100","100"
"fallen-sweep-30","90","0.2","0.001","3","AdamW","2","0.00010524623212404548","0.0001448602645026806","0.00010304813535968706","100","100"
"giddy-sweep-18","88","0.1","0.001","3","AdamW","2","0.00005900409450987354","0.001721463039300343","0.00029103114552953","99.93333333333332","100"
"devoted-sweep-5","87","0.05","0.001","3","Adam","2","0.00004158597585046664","0.0000351088330446262","0.000038625039858667755","100","100"
"confused-sweep-29","87","0.2","0.001","3","Adam","2","0.0004251628997735679","0.0004677819374471275","0.00012853354099225575","100","100"
"devoted-sweep-26","90","0.2","0.001","1","Adam","2","0.012228745967149734","0.0027428294004958513","0.002729610229936144","99.9","99.97826086956522"
"devout-sweep-11","88","0.05","0.0001","3","Adam","2","0.003041855990886688","0.0033033879452441977","0.002898027171290273","99.93333333333332","99.97826086956522"
"different-sweep-14","88","0.1","0.001","1","Adam","2","0.00928207952529192","0.003882648013770565","0.003912931165157513","99.9","99.93478260869566"
"iconic-sweep-23","88","0.1","0.0001","3","Adam","2","0.006112215109169483","0.0053645799672132006","0.0048082837767853765","99.96666666666668","99.91304347826086"
"effortless-sweep-24","88","0.1","0.0001","3","AdamW","2","0.017052479088306427","0.007682241948985277","0.00689870502416549","99.83333333333331","99.84782608695652"
"rare-sweep-9","85","0.05","0.0001","1","AdamW","2","0.002784291049465537","0.006086058989278675","0.011268217182077931","99.9","99.78260869565216"
"fiery-sweep-15","84","0.1","0.001","1","AdamW","2","0.004644373431801796","0.0052309587570059015","0.006386692610943909","99.93333333333332","99.78260869565216"
"glad-sweep-21","83","0.1","0.0001","1","AdamW","2","0.02478642761707306","0.012907267532043873","0.01805453747672598","99.76666666666668","99.7608695652174"
"scarlet-sweep-17","87","0.1","0.001","3","Adam","2","0.020702168345451355","0.010391997834457024","0.008297748044974974","99.76666666666668","99.7391304347826"
"royal-sweep-3","85","0.05","0.001","1","AdamW","2","0.07228711992502213","0.01569522470960324","0.017919944773893803","99.53333333333332","99.69565217391305"
"worthy-sweep-20","85","0.1","0.0001","1","Adam","2","0.0048468997702002525","0.00672563240476983","0.02165117484077604","99.93333333333332","99.60869565217392"
"bright-sweep-32","83","0.2","0.0001","1","Adam","2","0.007381623145192861","0.007859823359622363","0.019729893774233967","99.9","99.60869565217392"
"legendary-sweep-2","91","0.05","0.001","1","Adam","2","0.008750531822443008","0.005435503830162913","0.012465596218956106","99.86666666666667","99.58695652173914"
"vivid-sweep-36","87","0.2","0.0001","3","AdamW","2","0.0024248273111879826","0.019230606481482452","0.01728381712018745","99.5","99.47826086956522"
"toasty-sweep-33","89","0.2","0.0001","1","AdamW","2","0.009854813106358051","0.008518540951859286","0.02725704160467204","99.9","99.43478260869566"
"dutiful-sweep-8","85","0.05","0.0001","1","Adam","2","0.040939293801784515","0.008288830651237847","0.02702125589712523","99.83333333333331","99.34782608695652"
"curious-sweep-35","87","0.2","0.0001","3","Adam","2","0.003981726244091988","0.023791477147321355","0.021834406105982553","99.3","99.34782608695652"
"devout-sweep-27","90","0.2","0.001","1","AdamW","2","0.020736826583743095","0.027360418226674076","0.054680113086659626","98.7","97.58695652173913"
"denim-sweep-4","86","0.05","0.001","3","SGD","2","0.19974611699581143","0.20416493285843668","0.25172420291023123","95.43333333333334","92.30434782608695"
"serene-sweep-1","227","0.05","0.001","1","SGD","2","0.16352133452892303","0.1280199558810985","0.2427845422902869","98.53333333333332","90.63043478260867"
"dark-sweep-13","84","0.1","0.001","1","SGD","2","0.18177002668380737","0.1248483679237518","0.24417020846158263","98.36666666666667","90.58695652173913"
"crisp-sweep-16","85","0.1","0.001","3","SGD","2","0.3039710223674774","0.2786971376614368","0.29974361829873586","91.5","90.39130434782608"
"sunny-sweep-25","84","0.2","0.001","1","SGD","2","0.15034279227256775","0.1295224221304376","0.26509768138122225","98.6","89.54347826086956"
"helpful-sweep-28","85","0.2","0.001","3","SGD","2","0.4314444959163666","0.4550919501071281","0.44375255952278775","82.26666666666667","82.67391304347827"
"fluent-sweep-7","85","0.05","0.0001","1","SGD","2","0.700692892074585","0.6218915359770998","0.7268514086802801","84.66666666666667","71.93478260869566"
"golden-sweep-19","86","0.1","0.0001","1","SGD","2","0.6366176009178162","0.6351663222972382","0.750248447060585","78.7","66.47826086956522"
"olive-sweep-6","87","0.05","0.001","3","AdamW","2","0.005896939896047115","0.7227255947729374","1.4822106822911236","80.46666666666667","66.1086956521739"
"balmy-sweep-31","83","0.2","0.0001","1","SGD","2","0.8546319007873535","0.7206163063962409","0.8103560594220957","74.66666666666667","63"
"efficient-sweep-10","87","0.05","0.0001","3","SGD","2","0.8016928434371948","0.8195963096111378","0.9136452625195184","68.86666666666666","53.934782608695656"
"deft-sweep-34","91","0.2","0.0001","3","SGD","2","0.9031591415405272","0.9742184972509425","1.0148775805201795","65.66666666666666","53.130434782608695"
"divine-sweep-22","88","0.1","0.0001","3","SGD","2","1.040217399597168","0.8854898284090326","0.9626697670254444","58.9","47.52173913043478"
