"Name","Runtime","train/epoch","dropout","l_rate","n_cnn_layers","optimizer","train/loss","validation/loss","test/loss","validation/MSE","test/MSE"
"peachy-sweep-5","83","2","0.05","0.001","3","Adam","0.001482542953453958","0.0012554641889824354","0.0012923901623354242","0.0012554641889824354","0.0012923901623354242"
"wise-sweep-6","89","2","0.05","0.001","3","AdamW","0.007685631513595581","0.001349507847137036","0.0013164676129235886","0.001349507847137036","0.0013164676129235886"
"effortless-sweep-18","85","2","0.1","0.001","3","AdamW","0.0067425863817334175","0.0015435726072223104","0.0013807455494922276","0.0015435726072223104","0.0013807455494922276"
"polar-sweep-17","83","2","0.1","0.001","3","Adam","0.007165543735027313","0.0022691978609803666","0.0022905802365534734","0.0022691978609803666","0.0022905802365534734"
"still-sweep-29","85","2","0.2","0.001","3","Adam","0.009742232039570808","0.0029230078996872488","0.0027341457817884576","0.0029230078996872488","0.0027341457817884576"
"playful-sweep-30","91","2","0.2","0.001","3","AdamW","0.015337295830249786","0.0031649461399981794","0.002880411972809169","0.0031649461399981794","0.002880411972809169"
"dashing-sweep-11","85","2","0.05","0.0001","3","Adam","0.007461399771273136","0.003183353839670011","0.0034235981317275823","0.003183353839670011","0.0034235981317275823"
"ancient-sweep-8","80","2","0.05","0.0001","1","Adam","0.005948102101683617","0.004263740795803197","0.003590578328132526","0.004263740795803197","0.003590578328132526"
"super-sweep-9","84","2","0.05","0.0001","1","AdamW","0.00939636304974556","0.004996967387999943","0.0046972420710113105","0.004996967387999943","0.0046972420710113105"
"chocolate-sweep-32","79","2","0.2","0.0001","1","Adam","0.009445938281714916","0.005828737576016562","0.004942140781268891","0.005828737576016562","0.004942140781268891"
"warm-sweep-21","81","2","0.1","0.0001","1","AdamW","0.012725373730063438","0.006119302585423785","0.004948861872738537","0.006119302585423785","0.004948861872738537"
"worthy-sweep-33","79","2","0.2","0.0001","1","AdamW","0.008146410807967186","0.005585584995099046","0.0051053244339224575","0.005585584995099046","0.0051053244339224575"
"celestial-sweep-20","82","2","0.1","0.0001","1","Adam","0.004935805685818195","0.006903404478934851","0.006144962181375983","0.006903404478934851","0.006144962181375983"
"wobbly-sweep-12","84","2","0.05","0.0001","3","AdamW","0.005916540510952473","0.005190997429073174","0.0062788879181931","0.005190997429073174","0.0062788879181931"
"sandy-sweep-3","79","2","0.05","0.001","1","AdamW","0.021219372749328613","0.00704535580874282","0.0065138960069614565","0.00704535580874282","0.0065138960069614565"
"avid-sweep-2","82","2","0.05","0.001","1","Adam","0.01058691181242466","0.008223504506725264","0.007786867363999288","0.008223504506725264","0.007786867363999288"
